"Athletics Indicator","Major","Term","Distinct Students","Distinct Students.FORMATTED_VALUE"
"Never an Athlete","Real Estate Finance & Invest (REFI)","2022-23","1.0","1"
"Never an Athlete","Real Estate Finance & Invest (REFI)","2024-25","1.0","1"
"Never an Athlete","Saxophone (SAX)","2021-22","1.0","1"
"Never an Athlete","Saxophone (SAX)","2022-23","3.0","3"
"Never an Athlete","Saxophone (SAX)","2023-24","1.0","1"
"Never an Athlete","School Counseling (CHSC)","2021-22","24.0","24"
"Never an Athlete","School Counseling (CHSC)","2022-23","24.0","24"
"Never an Athlete","School Counseling (CHSC)","2023-24","14.0","14"
"Never an Athlete","School Counseling (CHSC)","2024-25","15.0","15"
"Never an Athlete","Secondary Teacher Education (SEED)","2021-22","20.0","20"
"Never an Athlete","Secondary Teacher Education (SEED)","2022-23","16.0","16"
"Never an Athlete","Secondary Teacher Education (SEED)","2023-24","12.0","12"
"Never an Athlete","Secondary Teacher Education (SEED)","2024-25","7.0","7"
"Never an Athlete","Special Education (SPED)","2021-22","12.0","12"
"Never an Athlete","Special Education (SPED)","2022-23","5.0","5"
"Never an Athlete","Special Education (SPED)","2023-24","4.0","4"
"Never an Athlete","Special Education (SPED)","2024-25","4.0","4"
"Never an Athlete","String Bass (STB)","2021-22","2.0","2"
"Never an Athlete","String Bass (STB)","2022-23","3.0","3"
"Never an Athlete","String Bass (STB)","2023-24","1.0","1"
"Never an Athlete","String Bass (STB)","2024-25","1.0","1"
"Never an Athlete","Suzuki Pedagogy (SUZ)","2021-22","7.0","7"
"Never an Athlete","Suzuki Pedagogy (SUZ)","2022-23","6.0","6"
"Never an Athlete","Suzuki Pedagogy (SUZ)","2023-24","4.0","4"
"Never an Athlete","Suzuki Pedagogy (SUZ)","2024-25","3.0","3"
"Never an Athlete","Theater Directing (THAF)","2021-22","2.0","2"
"Never an Athlete","Theater Directing (THAF)","2022-23","12.0","12"
"Never an Athlete","Theater Directing (THAF)","2023-24","6.0","6"
"Never an Athlete","Theater Directing (THAF)","2024-25","6.0","6"
"Never an Athlete","Trombone (TRBN)","2021-22","2.0","2"
"Never an Athlete","Trombone (TRBN)","2022-23","3.0","3"
